date,price_band,zip_code,mls_listings,mls_contracts,od_listings,od_contracts,od_home_visits
2017-02-03 0:00:00,<$200K,A,673,19,30,2,303
2017-02-03 0:00:00,<$200K,B,336,16,15,1,152
2017-02-03 0:00:00,<$200K,C,135,5,6,0,61
2017-02-03 0:00:00,<$200K,D,202,7,9,0,91
2017-02-04 0:00:00,<$200K,A,677,15,30,1,304
2017-02-04 0:00:00,<$200K,B,339,13,15,1,152
2017-02-04 0:00:00,<$200K,C,135,4,6,0,61
2017-02-04 0:00:00,<$200K,D,203,6,9,0,91
2017-02-05 0:00:00,<$200K,A,670,16,29,2,294
2017-02-05 0:00:00,<$200K,B,335,14,14,1,147
2017-02-05 0:00:00,<$200K,C,134,4,6,0,59
2017-02-05 0:00:00,<$200K,D,201,6,9,0,88
2017-02-06 0:00:00,<$200K,A,655,25,28,2,289
2017-02-06 0:00:00,<$200K,B,327,22,14,1,144
2017-02-06 0:00:00,<$200K,C,131,6,6,0,58
2017-02-06 0:00:00,<$200K,D,196,9,8,1,87
2017-02-07 0:00:00,<$200K,A,647,28,27,2,279
2017-02-07 0:00:00,<$200K,B,323,25,14,1,139
2017-02-07 0:00:00,<$200K,C,129,7,5,0,56
2017-02-07 0:00:00,<$200K,D,194,11,8,1,84
2017-02-08 0:00:00,<$200K,A,645,24,27,2,279
2017-02-08 0:00:00,<$200K,B,323,21,14,1,139
2017-02-08 0:00:00,<$200K,C,129,6,5,0,56
2017-02-08 0:00:00,<$200K,D,194,9,8,1,84
2017-02-09 0:00:00,<$200K,A,661,24,27,2,279
2017-02-09 0:00:00,<$200K,B,331,21,14,1,140
2017-02-09 0:00:00,<$200K,C,132,6,5,0,56
2017-02-09 0:00:00,<$200K,D,198,9,8,1,84
2017-02-10 0:00:00,<$200K,A,667,22,27,2,279
2017-02-10 0:00:00,<$200K,B,333,19,14,1,140
2017-02-10 0:00:00,<$200K,C,133,6,5,0,56
2017-02-10 0:00:00,<$200K,D,200,8,8,0,84
2017-02-11 0:00:00,<$200K,A,662,20,27,2,275
2017-02-11 0:00:00,<$200K,B,331,17,13,1,137
2017-02-11 0:00:00,<$200K,C,132,5,5,0,55
2017-02-11 0:00:00,<$200K,D,198,7,8,0,82
2017-02-12 0:00:00,<$200K,A,644,21,26,2,264
2017-02-12 0:00:00,<$200K,B,322,19,13,1,132
2017-02-12 0:00:00,<$200K,C,129,5,5,0,53
2017-02-12 0:00:00,<$200K,D,193,8,8,0,79
2017-02-13 0:00:00,<$200K,A,631,30,25,2,260
2017-02-13 0:00:00,<$200K,B,316,26,13,1,130
2017-02-13 0:00:00,<$200K,C,126,7,5,0,52
2017-02-13 0:00:00,<$200K,D,189,11,8,1,78
2017-02-14 0:00:00,<$200K,A,624,21,25,2,255
2017-02-14 0:00:00,<$200K,B,312,19,12,1,127
2017-02-14 0:00:00,<$200K,C,125,5,5,0,51
2017-02-14 0:00:00,<$200K,D,187,8,7,0,76
2017-02-15 0:00:00,<$200K,A,623,20,24,2,250
2017-02-15 0:00:00,<$200K,B,312,18,12,1,125
2017-02-15 0:00:00,<$200K,C,125,5,5,0,50
2017-02-15 0:00:00,<$200K,D,187,8,7,0,75
2017-02-16 0:00:00,<$200K,A,626,26,24,2,250
2017-02-16 0:00:00,<$200K,B,313,23,12,1,125
2017-02-16 0:00:00,<$200K,C,125,7,5,0,50
2017-02-16 0:00:00,<$200K,D,188,10,7,1,75
2017-02-17 0:00:00,<$200K,A,642,19,24,2,250
2017-02-17 0:00:00,<$200K,B,321,16,12,1,125
2017-02-17 0:00:00,<$200K,C,128,5,5,0,50
2017-02-17 0:00:00,<$200K,D,193,7,7,0,75
2017-02-18 0:00:00,<$200K,A,634,21,24,2,245
2017-02-18 0:00:00,<$200K,B,317,19,12,1,123
2017-02-18 0:00:00,<$200K,C,127,5,5,0,49
2017-02-18 0:00:00,<$200K,D,190,8,7,0,74
2017-02-19 0:00:00,<$200K,A,618,19,23,2,235
2017-02-19 0:00:00,<$200K,B,309,16,11,1,117
2017-02-19 0:00:00,<$200K,C,124,5,5,0,47
2017-02-19 0:00:00,<$200K,D,185,7,7,0,70
2017-02-20 0:00:00,<$200K,A,596,32,22,2,225
2017-02-20 0:00:00,<$200K,B,298,28,11,1,112
2017-02-20 0:00:00,<$200K,C,119,8,4,0,45
2017-02-20 0:00:00,<$200K,D,179,12,6,1,67
2017-02-21 0:00:00,<$200K,A,587,26,21,2,220
2017-02-21 0:00:00,<$200K,B,293,22,11,1,110
2017-02-21 0:00:00,<$200K,C,117,6,4,0,44
2017-02-21 0:00:00,<$200K,D,176,10,6,0,66
2017-02-22 0:00:00,<$200K,A,594,22,21,2,220
2017-02-22 0:00:00,<$200K,B,297,19,11,1,110
2017-02-22 0:00:00,<$200K,C,119,6,4,0,44
2017-02-22 0:00:00,<$200K,D,178,8,6,0,66
2017-02-23 0:00:00,<$200K,A,600,22,21,2,220
2017-02-23 0:00:00,<$200K,B,300,20,11,1,110
2017-02-23 0:00:00,<$200K,C,120,6,4,0,44
2017-02-23 0:00:00,<$200K,D,180,8,6,0,66
2017-02-24 0:00:00,<$200K,A,601,24,21,2,220
2017-02-24 0:00:00,<$200K,B,300,21,11,1,110
2017-02-24 0:00:00,<$200K,C,120,6,4,0,44
2017-02-24 0:00:00,<$200K,D,180,9,6,0,66
2017-02-25 0:00:00,<$200K,A,597,20,21,2,215
2017-02-25 0:00:00,<$200K,B,298,18,10,1,108
2017-02-25 0:00:00,<$200K,C,119,5,4,0,43
2017-02-25 0:00:00,<$200K,D,179,8,6,0,65
2017-02-26 0:00:00,<$200K,A,580,20,20,1,205
2017-02-26 0:00:00,<$200K,B,290,17,10,1,103
2017-02-26 0:00:00,<$200K,C,116,5,4,0,41
2017-02-26 0:00:00,<$200K,D,174,7,6,0,62
2017-02-27 0:00:00,<$200K,A,568,26,19,2,200
2017-02-27 0:00:00,<$200K,B,284,23,10,1,100
2017-02-27 0:00:00,<$200K,C,114,7,4,0,40
2017-02-27 0:00:00,<$200K,D,170,10,6,0,60
2017-02-28 0:00:00,<$200K,A,551,24,19,2,200
2017-02-28 0:00:00,<$200K,B,276,21,10,1,100
2017-02-28 0:00:00,<$200K,C,110,6,4,0,40
2017-02-28 0:00:00,<$200K,D,165,9,6,0,60
2017-03-01 0:00:00,<$200K,A,558,23,20,2,206
2017-03-01 0:00:00,<$200K,B,279,20,10,1,103
2017-03-01 0:00:00,<$200K,C,112,6,4,0,41
2017-03-01 0:00:00,<$200K,D,167,9,6,0,62
2017-03-02 0:00:00,<$200K,A,562,26,20,2,211
2017-03-02 0:00:00,<$200K,B,281,23,10,1,106
2017-03-02 0:00:00,<$200K,C,112,7,4,0,42
2017-03-02 0:00:00,<$200K,D,169,10,6,0,63
2017-03-03 0:00:00,<$200K,A,570,22,21,2,217
2017-03-03 0:00:00,<$200K,B,285,20,10,1,108
2017-03-03 0:00:00,<$200K,C,114,6,4,0,43
2017-03-03 0:00:00,<$200K,D,171,8,6,0,65
2017-03-04 0:00:00,<$200K,A,562,22,21,2,217
2017-03-04 0:00:00,<$200K,B,281,19,10,1,108
2017-03-04 0:00:00,<$200K,C,112,5,4,0,43
2017-03-04 0:00:00,<$200K,D,169,8,6,0,65
2017-03-05 0:00:00,<$200K,A,552,17,21,1,217
2017-03-05 0:00:00,<$200K,B,276,15,10,1,108
2017-03-05 0:00:00,<$200K,C,110,4,4,0,43
2017-03-05 0:00:00,<$200K,D,165,6,6,0,65
2017-03-06 0:00:00,<$200K,A,548,25,21,2,222
2017-03-06 0:00:00,<$200K,B,274,22,11,1,111
2017-03-06 0:00:00,<$200K,C,110,6,4,0,44
2017-03-06 0:00:00,<$200K,D,164,9,6,1,67
2017-03-07 0:00:00,<$200K,A,539,27,21,2,217
2017-03-07 0:00:00,<$200K,B,269,24,10,1,109
2017-03-07 0:00:00,<$200K,C,108,7,4,0,43
2017-03-07 0:00:00,<$200K,D,162,10,6,1,65
2017-03-08 0:00:00,<$200K,A,546,20,22,2,228
2017-03-08 0:00:00,<$200K,B,273,18,11,1,114
2017-03-08 0:00:00,<$200K,C,109,5,4,0,46
2017-03-08 0:00:00,<$200K,D,164,8,6,0,68
2017-03-09 0:00:00,<$200K,A,560,26,22,2,234
2017-03-09 0:00:00,<$200K,B,280,23,11,1,117
2017-03-09 0:00:00,<$200K,C,112,7,4,0,47
2017-03-09 0:00:00,<$200K,D,168,10,7,1,70
2017-03-10 0:00:00,<$200K,A,571,24,23,2,245
2017-03-10 0:00:00,<$200K,B,286,21,12,1,122
2017-03-10 0:00:00,<$200K,C,114,6,5,0,49
2017-03-10 0:00:00,<$200K,D,171,9,7,1,73
2017-03-11 0:00:00,<$200K,A,566,19,23,2,245
2017-03-11 0:00:00,<$200K,B,283,17,12,1,122
2017-03-11 0:00:00,<$200K,C,113,5,5,0,49
2017-03-11 0:00:00,<$200K,D,170,7,7,0,73
2017-03-12 0:00:00,<$200K,A,545,22,23,2,240
2017-03-12 0:00:00,<$200K,B,273,19,11,1,120
2017-03-12 0:00:00,<$200K,C,109,5,5,0,48
2017-03-12 0:00:00,<$200K,D,164,8,7,0,72
2017-03-13 0:00:00,<$200K,A,534,30,23,3,240
2017-03-13 0:00:00,<$200K,B,267,26,11,1,120
2017-03-13 0:00:00,<$200K,C,107,7,5,1,48
2017-03-13 0:00:00,<$200K,D,160,11,7,1,72
2017-03-14 0:00:00,<$200K,A,533,20,23,2,240
2017-03-14 0:00:00,<$200K,B,266,18,11,1,120
2017-03-14 0:00:00,<$200K,C,107,5,5,0,48
2017-03-14 0:00:00,<$200K,D,160,8,7,0,72
2017-03-15 0:00:00,<$200K,A,535,23,23,2,246
2017-03-15 0:00:00,<$200K,B,268,20,12,1,123
2017-03-15 0:00:00,<$200K,C,107,6,5,0,49
2017-03-15 0:00:00,<$200K,D,161,9,7,1,74
2017-03-16 0:00:00,<$200K,A,552,19,24,2,257
2017-03-16 0:00:00,<$200K,B,276,16,12,1,128
2017-03-16 0:00:00,<$200K,C,110,5,5,0,51
2017-03-16 0:00:00,<$200K,D,166,7,7,0,77
2017-03-17 0:00:00,<$200K,A,557,30,25,3,262
2017-03-17 0:00:00,<$200K,B,278,26,12,1,131
2017-03-17 0:00:00,<$200K,C,111,7,5,1,52
2017-03-17 0:00:00,<$200K,D,167,11,7,1,79
2017-03-18 0:00:00,<$200K,A,552,20,25,2,262
2017-03-18 0:00:00,<$200K,B,276,18,12,1,131
2017-03-18 0:00:00,<$200K,C,110,5,5,0,52
2017-03-18 0:00:00,<$200K,D,165,8,7,0,79
2017-03-19 0:00:00,<$200K,A,538,20,25,2,263
2017-03-19 0:00:00,<$200K,B,269,18,12,1,131
2017-03-19 0:00:00,<$200K,C,108,5,5,0,53
2017-03-19 0:00:00,<$200K,D,161,8,7,0,79
2017-03-20 0:00:00,<$200K,A,519,31,24,3,258
2017-03-20 0:00:00,<$200K,B,260,27,12,1,129
2017-03-20 0:00:00,<$200K,C,104,8,5,1,52
2017-03-20 0:00:00,<$200K,D,156,12,7,1,77
2017-03-21 0:00:00,<$200K,A,512,25,24,2,258
2017-03-21 0:00:00,<$200K,B,256,22,12,1,129
2017-03-21 0:00:00,<$200K,C,102,6,5,0,52
2017-03-21 0:00:00,<$200K,D,153,9,7,1,77
2017-03-22 0:00:00,<$200K,A,511,25,24,2,258
2017-03-22 0:00:00,<$200K,B,256,22,12,1,129
2017-03-22 0:00:00,<$200K,C,102,6,5,0,52
2017-03-22 0:00:00,<$200K,D,153,9,7,1,77
2017-03-23 0:00:00,<$200K,A,519,23,25,2,264
2017-03-23 0:00:00,<$200K,B,259,20,12,1,132
2017-03-23 0:00:00,<$200K,C,104,6,5,0,53
2017-03-23 0:00:00,<$200K,D,156,9,7,1,79
2017-03-24 0:00:00,<$200K,A,528,28,26,3,275
2017-03-24 0:00:00,<$200K,B,264,25,13,1,137
2017-03-24 0:00:00,<$200K,C,106,7,5,1,55
2017-03-24 0:00:00,<$200K,D,158,11,8,1,82
2017-03-25 0:00:00,<$200K,A,526,18,26,2,275
2017-03-25 0:00:00,<$200K,B,263,15,13,1,137
2017-03-25 0:00:00,<$200K,C,105,4,5,0,55
2017-03-25 0:00:00,<$200K,D,158,7,8,0,82
2017-03-26 0:00:00,<$200K,A,522,14,26,2,281
2017-03-26 0:00:00,<$200K,B,261,12,13,1,140
2017-03-26 0:00:00,<$200K,C,104,3,5,0,56
2017-03-26 0:00:00,<$200K,D,157,5,8,0,84
2017-03-27 0:00:00,<$200K,A,514,31,26,3,275
2017-03-27 0:00:00,<$200K,B,257,27,13,2,138
2017-03-27 0:00:00,<$200K,C,103,8,5,1,55
2017-03-27 0:00:00,<$200K,D,154,12,8,1,83
2017-03-28 0:00:00,<$200K,A,513,26,26,3,281
2017-03-28 0:00:00,<$200K,B,257,23,13,1,141
2017-03-28 0:00:00,<$200K,C,103,7,5,1,56
2017-03-28 0:00:00,<$200K,D,154,10,8,1,84
2017-03-29 0:00:00,<$200K,A,512,24,26,2,281
2017-03-29 0:00:00,<$200K,B,256,21,13,1,141
2017-03-29 0:00:00,<$200K,C,102,6,5,0,56
2017-03-29 0:00:00,<$200K,D,154,9,8,1,84
2017-03-30 0:00:00,<$200K,A,512,26,27,3,287
2017-03-30 0:00:00,<$200K,B,256,23,13,1,143
2017-03-30 0:00:00,<$200K,C,102,7,5,1,57
2017-03-30 0:00:00,<$200K,D,153,10,8,1,86
2017-03-31 0:00:00,<$200K,A,516,27,27,3,293
2017-03-31 0:00:00,<$200K,B,258,24,14,1,146
2017-03-31 0:00:00,<$200K,C,103,7,5,1,59
2017-03-31 0:00:00,<$200K,D,155,10,8,1,88
2017-04-01 0:00:00,<$200K,A,516,19,27,2,293
2017-04-01 0:00:00,<$200K,B,258,17,14,1,146
2017-04-01 0:00:00,<$200K,C,103,5,5,0,59
2017-04-01 0:00:00,<$200K,D,155,7,8,1,88
2017-04-02 0:00:00,<$200K,A,494,24,27,3,288
2017-04-02 0:00:00,<$200K,B,247,21,13,1,144
2017-04-02 0:00:00,<$200K,C,99,6,5,1,58
2017-04-02 0:00:00,<$200K,D,148,9,8,1,86
2017-04-03 0:00:00,<$200K,A,491,24,27,3,288
2017-04-03 0:00:00,<$200K,B,246,21,13,1,144
2017-04-03 0:00:00,<$200K,C,98,6,5,1,58
2017-04-03 0:00:00,<$200K,D,147,9,8,1,86
2017-04-04 0:00:00,<$200K,A,481,29,26,3,283
2017-04-04 0:00:00,<$200K,B,241,25,13,2,141
2017-04-04 0:00:00,<$200K,C,96,7,5,1,57
2017-04-04 0:00:00,<$200K,D,144,11,8,1,85
2017-04-05 0:00:00,<$200K,A,490,22,27,3,294
2017-04-05 0:00:00,<$200K,B,245,20,14,1,147
2017-04-05 0:00:00,<$200K,C,98,6,5,1,59
2017-04-05 0:00:00,<$200K,D,147,8,8,1,88
2017-04-06 0:00:00,<$200K,A,504,20,28,2,305
2017-04-06 0:00:00,<$200K,B,252,18,14,1,153
2017-04-06 0:00:00,<$200K,C,101,5,6,0,61
2017-04-06 0:00:00,<$200K,D,151,8,8,1,92
2017-04-07 0:00:00,<$200K,A,516,27,29,3,316
2017-04-07 0:00:00,<$200K,B,258,24,15,2,158
2017-04-07 0:00:00,<$200K,C,103,7,6,1,63
2017-04-07 0:00:00,<$200K,D,155,10,9,1,95
2017-04-08 0:00:00,<$200K,A,507,20,29,2,317
2017-04-08 0:00:00,<$200K,B,254,18,15,1,158
2017-04-08 0:00:00,<$200K,C,101,5,6,0,63
2017-04-08 0:00:00,<$200K,D,152,8,9,1,95
2017-04-09 0:00:00,<$200K,A,493,16,29,2,311
2017-04-09 0:00:00,<$200K,B,247,14,14,1,156
2017-04-09 0:00:00,<$200K,C,99,4,6,0,62
2017-04-09 0:00:00,<$200K,D,148,6,9,1,93
2017-04-10 0:00:00,<$200K,A,488,27,29,3,312
2017-04-10 0:00:00,<$200K,B,244,24,14,2,156
2017-04-10 0:00:00,<$200K,C,98,7,6,1,62
2017-04-10 0:00:00,<$200K,D,146,10,9,1,93
2017-04-11 0:00:00,<$200K,A,480,26,28,3,307
2017-04-11 0:00:00,<$200K,B,240,23,14,2,153
2017-04-11 0:00:00,<$200K,C,96,7,6,1,61
2017-04-11 0:00:00,<$200K,D,144,10,8,1,92
2017-04-12 0:00:00,<$200K,A,488,21,29,3,318
2017-04-12 0:00:00,<$200K,B,244,18,15,1,159
2017-04-12 0:00:00,<$200K,C,98,5,6,1,64
2017-04-12 0:00:00,<$200K,D,146,8,9,1,95
2017-04-13 0:00:00,<$200K,A,495,24,30,3,324
2017-04-13 0:00:00,<$200K,B,248,21,15,1,162
2017-04-13 0:00:00,<$200K,C,99,6,6,1,65
2017-04-13 0:00:00,<$200K,D,149,9,9,1,97
2017-04-14 0:00:00,<$200K,A,503,24,31,3,335
2017-04-14 0:00:00,<$200K,B,252,21,15,2,167
2017-04-14 0:00:00,<$200K,C,101,6,6,1,67
2017-04-14 0:00:00,<$200K,D,151,9,9,1,100
2017-04-15 0:00:00,<$200K,A,488,24,30,3,324
2017-04-15 0:00:00,<$200K,B,244,21,15,1,162
2017-04-15 0:00:00,<$200K,C,98,6,6,1,65
2017-04-15 0:00:00,<$200K,D,146,9,9,1,97
2017-04-16 0:00:00,<$200K,A,480,12,30,2,324
2017-04-16 0:00:00,<$200K,B,240,11,15,1,162
2017-04-16 0:00:00,<$200K,C,96,3,6,0,65
2017-04-16 0:00:00,<$200K,D,144,5,9,0,97
2017-04-17 0:00:00,<$200K,A,476,25,30,3,325
2017-04-17 0:00:00,<$200K,B,238,22,15,2,162
2017-04-17 0:00:00,<$200K,C,95,6,6,1,65
2017-04-17 0:00:00,<$200K,D,143,9,9,1,97
2017-04-18 0:00:00,<$200K,A,473,28,30,4,325
2017-04-18 0:00:00,<$200K,B,236,25,15,2,163
2017-04-18 0:00:00,<$200K,C,95,7,6,1,65
2017-04-18 0:00:00,<$200K,D,142,11,9,1,98
2017-04-19 0:00:00,<$200K,A,474,23,30,3,331
2017-04-19 0:00:00,<$200K,B,237,20,15,1,165
2017-04-19 0:00:00,<$200K,C,95,6,6,1,66
2017-04-19 0:00:00,<$200K,D,142,9,9,1,99
2017-04-20 0:00:00,<$200K,A,480,25,31,3,337
2017-04-20 0:00:00,<$200K,B,240,22,15,2,168
2017-04-20 0:00:00,<$200K,C,96,6,6,1,67
2017-04-20 0:00:00,<$200K,D,144,9,9,1,101
2017-04-21 0:00:00,<$200K,A,480,22,31,3,342
2017-04-21 0:00:00,<$200K,B,240,20,16,1,171
2017-04-21 0:00:00,<$200K,C,96,6,6,1,68
2017-04-21 0:00:00,<$200K,D,144,8,9,1,103
2017-04-22 0:00:00,<$200K,A,475,16,31,2,343
2017-04-22 0:00:00,<$200K,B,238,14,16,1,171
2017-04-22 0:00:00,<$200K,C,95,4,6,0,69
2017-04-22 0:00:00,<$200K,D,143,6,9,1,103
2017-04-23 0:00:00,<$200K,A,461,18,30,2,332
2017-04-23 0:00:00,<$200K,B,231,16,15,1,166
2017-04-23 0:00:00,<$200K,C,92,5,6,0,66
2017-04-23 0:00:00,<$200K,D,138,7,9,1,100
2017-04-24 0:00:00,<$200K,A,450,25,30,3,327
2017-04-24 0:00:00,<$200K,B,225,22,15,2,163
2017-04-24 0:00:00,<$200K,C,90,6,6,1,65
2017-04-24 0:00:00,<$200K,D,135,9,9,1,98
2017-04-25 0:00:00,<$200K,A,444,21,30,3,327
2017-04-25 0:00:00,<$200K,B,222,18,15,1,164
2017-04-25 0:00:00,<$200K,C,89,5,6,1,65
2017-04-25 0:00:00,<$200K,D,133,8,9,1,98
2017-04-26 0:00:00,<$200K,A,437,27,30,4,327
2017-04-26 0:00:00,<$200K,B,219,24,15,2,164
2017-04-26 0:00:00,<$200K,C,87,7,6,1,65
2017-04-26 0:00:00,<$200K,D,131,10,9,1,98
2017-04-27 0:00:00,<$200K,A,451,24,31,3,339
2017-04-27 0:00:00,<$200K,B,226,21,15,2,169
2017-04-27 0:00:00,<$200K,C,90,6,6,1,68
2017-04-27 0:00:00,<$200K,D,135,9,9,1,102
2017-04-28 0:00:00,<$200K,A,466,21,32,3,356
2017-04-28 0:00:00,<$200K,B,233,18,16,1,178
2017-04-28 0:00:00,<$200K,C,93,5,6,1,71
2017-04-28 0:00:00,<$200K,D,140,8,10,1,107
2017-04-29 0:00:00,<$200K,A,460,18,32,3,351
2017-04-29 0:00:00,<$200K,B,230,15,16,1,175
2017-04-29 0:00:00,<$200K,C,92,4,6,1,70
2017-04-29 0:00:00,<$200K,D,138,7,9,1,105
2017-04-30 0:00:00,<$200K,A,443,20,31,3,340
2017-04-30 0:00:00,<$200K,B,222,17,15,1,170
2017-04-30 0:00:00,<$200K,C,89,5,6,1,68
2017-04-30 0:00:00,<$200K,D,133,7,9,1,102
2017-05-01 0:00:00,<$200K,A,441,34,31,5,346
2017-05-01 0:00:00,<$200K,B,221,29,16,2,173
2017-05-01 0:00:00,<$200K,C,88,8,6,1,69
2017-05-01 0:00:00,<$200K,D,132,13,9,1,104
2017-05-02 0:00:00,<$200K,A,443,22,31,3,346
2017-05-02 0:00:00,<$200K,B,222,20,16,2,173
2017-05-02 0:00:00,<$200K,C,89,6,6,1,69
